,state_id,STATEFP,seat_id,CD114FP,d_votes,r_votes,other_votes,d_vote_share,r_vote_share,other_vote_share,d_won,r_won,other_won
89,FL,12,6,6,172305,265393,158,0.3935197873273405,0.6061193634436892,0.0003608492289702551,0,1,0
90,FL,12,7,7,224946,175750,5753,0.553442129270831,0.43240357338805113,0.014154297341117828,1,0,0
91,FL,12,8,8,177695,282093,0,0.38647159125510017,0.6135284087448998,0.0,0,1,0
92,FL,12,9,9,240724,188889,25,0.5602949459777766,0.43964686550072385,5.818852149949493e-05,1,0,0
93,FL,12,10,10,239434,136889,74,0.6361209042580042,0.3636824948126579,0.00019660092933790652,1,0,0
94,FL,12,11,11,158094,316979,0,0.3327783309091445,0.6672216690908556,0.0,0,1,0
95,FL,12,12,12,168194,284941,0,0.37117856709369174,0.6288214329063083,0.0,0,1,0
96,FL,12,13,13,215405,190713,7,0.5303908895044629,0.46959187442289935,1.7236072637734686e-05,1,0,0
97,FL,12,14,14,224240,147896,0,0.6025754025410065,0.3974245974589935,0.0,1,0,0
98,FL,12,15,15,174297,216374,0,0.4461477816372344,0.5538522183627655,0.0,0,1,0
99,FL,12,16,16,215683,269001,0,0.444997152784082,0.555002847215918,0.0,0,1,0
100,FL,12,17,17,140487,266514,5396,0.340659607126143,0.6462559135978195,0.013084479276037411,0,1,0
101,FL,12,18,18,186674,253286,9760,0.4150893889531264,0.5632082184470337,0.0217023925998399,0,1,0
102,FL,12,19,19,172146,272440,3,0.3872025623665903,0.6127906898281335,6.7478052763338725e-06,0,1,0
103,FL,12,20,20,253661,68748,0,0.7867677391139826,0.21323226088601746,0.0,1,0,0
104,FL,12,21,21,237925,157612,7750,0.5899644669924892,0.39081844939212024,0.01921708361539053,1,0,0
105,FL,12,22,22,235764,166553,0,0.5860155051862089,0.4139844948137911,0.0,1,0,0
106,FL,12,23,23,221239,158874,83,0.5819077528432703,0.4178739387052994,0.00021830845143031488,1,0,0
107,FL,12,24,24,218825,59084,11729,0.7555120529764741,0.20399257003569973,0.04049537698782618,1,0,0
108,FL,12,26,26,165407,177223,0,0.4827569097860666,0.5172430902139334,0.0,0,1,0
109,FL,12,27,27,166758,176141,76,0.486210365186967,0.513568044318099,0.0002215904949340331,0,1,0
110,GA,13,1,1,135238,189457,0,0.4165077996273426,0.5834922003726574,0.0,0,1,0
111,GA,13,2,2,161397,111620,0,0.5911609899749832,0.40883901002501677,0.0,1,0,0
112,GA,13,3,3,129792,241526,18,0.34952711291121785,0.6504244134692031,4.847361957903355e-05,0,1,0
113,GA,13,4,4,278906,69393,0,0.8007660085156719,0.19923399148432813,0.0,1,0,0
114,GA,13,5,5,301857,52646,0,0.8514934993497939,0.14850650065020607,0.0,1,0,0
115,GA,13,6,6,216775,180329,0,0.5458897417301262,0.4541102582698739,0.0,1,0,0
116,GA,13,7,7,190900,180564,0,0.5139125191135615,0.48608748088643855,0.0,1,0,0
117,GA,13,8,8,109264,198701,24,0.35476591696456694,0.6451561581744802,7.792486095282624e-05,0,1,0
118,GA,13,9,9,79797,292750,3,0.21419138370688498,0.7858005636827271,8.0526103878674e-06,0,1,0
119,GA,13,10,10,142636,235810,60,0.3768394688591462,0.6230020131781266,0.00015851796272714304,0,1,0
120,GA,13,11,11,160623,245259,0,0.3957381702071045,0.6042618297928954,0.0,0,1,0
121,GA,13,12,12,129061,181038,0,0.416192893237321,0.583807106762679,0.0,0,1,0
122,GA,13,13,13,279045,81476,0,0.7740048429911156,0.22599515700888437,0.0,1,0,0
123,GA,13,14,14,77798,229827,323,0.25263356151038485,0.7463175601075506,0.0010488783820645044,0,1,0
124,HI,15,1,1,183245,71188,0,0.7202092495863351,0.2797907504136649,0.0,1,0,0
125,HI,15,2,2,171517,84027,16558,0.630340828071826,0.3088069914958361,0.06085218043233787,1,0,0
126,IA,19,1,1,201347,212088,0,0.487010049947392,0.5129899500526081,0.0,0,1,0
128,IA,19,3,3,219205,212997,15361,0.48977462390769566,0.47590395095215643,0.03432142514014787,1,0,0
129,IA,19,4,4,144761,237369,0,0.37882657734278913,0.6211734226572109,0.0,0,1,0
130,ID,16,1,1,131380,310736,16453,0.28649995965710723,0.6776210341300873,0.035879006212805487,0,1,0
131,ID,16,2,2,124151,250668,16513,0.31725235861110257,0.6405507344147681,0.04219690697412938,0,1,0
132,IL,17,1,1,238881,84702,0,0.738237175624183,0.26176282437581705,0.0,1,0,0
133,IL,17,2,2,232887,62835,0,0.7875200357092134,0.2124799642907866,0.0,1,0,0
134,IL,17,3,3,171886,133230,0,0.5633463994021946,0.43665360059780545,0.0,1,0,0
135,IL,17,4,4,185837,35292,0,0.8404008519913716,0.15959914800862846,0.0,1,0,0
136,IL,17,5,5,254620,95791,9334,0.7077791213220476,0.2662747223727918,0.0259461563051606,1,0,0
137,IL,17,6,6,213188,183490,7063,0.5280315846049819,0.4544745269863601,0.017493888408658027,1,0,0
138,IL,17,7,7,247671,41156,19201,0.8040535276013869,0.13361123014790863,0.062335242250704484,1,0,0
139,IL,17,8,8,185423,0,68087,0.7314228235572561,0.0,0.26857717644274387,1,0,0
140,IL,17,9,9,260798,106651,0,0.7097529180920346,0.29024708190796544,0.0,1,0,0
141,IL,17,10,10,198886,113017,0,0.6376533730037864,0.36234662699621356,0.0,1,0,0
142,IL,17,11,11,194533,112790,0,0.6329919986463753,0.3670080013536247,0.0,1,0,0
143,IL,17,12,12,125511,192807,0,0.3942943848604226,0.6057056151395774,0.0,0,1,0
144,IL,17,13,13,150316,180176,0,0.4548249276835748,0.5451750723164253,0.0,0,1,0
145,IL,17,14,14,202649,197476,0,0.5064642299281474,0.49353577007185256,0.0,1,0,0
146,IL,17,15,15,91405,230955,0,0.28354944782231045,0.7164505521776895,0.0,0,1,0
147,IL,17,16,16,117904,217149,168,0.35172020845949387,0.6477786296204593,0.0005011619200467751,0,1,0
148,IL,17,17,17,154441,142881,0,0.5194402028776882,0.48055979712231184,0.0,1,0,0
149,IL,17,18,18,107951,258093,0,0.29491263345390173,0.7050873665460983,0.0,0,1,0
150,IN,18,1,1,185180,132247,9521,0.5663897622863575,0.4044893989258231,0.02912083878781947,1,0,0
151,IN,18,2,2,114967,183601,0,0.385061359556282,0.614938640443718,0.0,0,1,0
152,IN,18,3,3,104762,220989,0,0.32160146860638955,0.6783985313936105,0.0,0,1,0
153,IN,18,4,4,112984,225531,0,0.33376364415166243,0.6662363558483376,0.0,0,1,0
154,IN,18,5,5,191226,208212,16788,0.4594282913609433,0.5002378515518012,0.04033385708725548,0,1,0
155,IN,18,6,6,91105,225318,11791,0.2775780435935091,0.6864972243719037,0.03592473203458719,0,1,0
156,IN,18,7,7,176422,106146,0,0.6243523682794938,0.3756476317205062,0.0,1,0,0
157,IN,18,8,8,95691,214643,10283,0.2984589089162459,0.6694685559405771,0.03207253514317706,0,1,0
158,IN,18,9,9,122580,222070,14416,0.34138570624899045,0.6184656859741663,0.04014860777684325,0,1,0
159,KS,20,1,1,81561,204275,0,0.28534194433171467,0.7146580556682853,0.0,0,1,0
