,Unnamed: 0,AFFGEOID,ALAND,AWATER,CD114FP,CDSESSN,GEOID,LSAD,STATEFP,AreaUncert,CvxHullPS,CvxHullPT,CvxHullPTB,HoleCount,PolsbyPopp,PolyCount,ReockPS,ReockPT,ReockPTB,Schwartzbe,areaAH,perimSH
303,303,5001400,161935704,4773294,7,114,1707,C2,17,4083073.5,0.5031144737,0.5031144737,0.5192156797,0.0,0.082406002,1.0,0.2537637715,0.2537637715,0.2637142179,0.2870644562,162400399.45771533,157368.9533041116
304,304,5001400,50035024220,1235265144,1,114,501,C2,5,1999669.0,0.7059772535,0.7059772535,0.7850092216,0.0,0.1333239668,1.0,0.3884191773,0.3884191773,0.5320448389,0.3651355459,51269294438.802185,2198262.1839431613
305,305,5001400,250595885,127431128,13,114,613,C2,6,2806056.5,0.7875114718999999,0.7875114718999999,0.8758742417000001,0.0,0.2156461761,1.0,0.4010722007,0.4010722007,0.5784619502,0.46437719159999996,265296068.96090665,124336.7349358204
306,306,5001400,16016009350,456718941,3,114,603,C2,6,0.0,0.6280757395000001,0.6280757395000001,0.6280753323,0.0,0.1586559425,1.0,0.4178767714,0.4178767714,0.4016544314,0.398316385,16470323611.683374,1142162.3141795269
307,307,5001400,33032795123,342924091,3,114,2803,C2,28,4107367.5,0.6346219147,0.6346219147,0.641460015,0.0,0.165970792,1.0,0.2608709982,0.2608709982,0.3730720745,0.4073951301,33375761811.471256,1589661.6326601638
308,308,5001400,479535989,21593862,11,114,5111,C2,51,3284611.5,0.523137069,0.523137069,0.5298720294,0.0,0.0965532328,1.0,0.21840823809999999,0.21840823809999999,0.2471009863,0.3107301607,488862863.21033263,252240.6320091696
309,309,5001400,10727947217,5439803225,10,114,2610,C2,26,2752997.5,0.8577776367000001,0.8577042059000001,0.9104812848,0.0,0.32845192170000004,4.0,0.4584277932,0.4585798338,0.7478122145999999,0.5731072515,10922927577.2266,646455.3820396019
310,310,5001400,20556949456,430653891,19,114,3619,C2,36,4274409.0,0.7640678534,0.7640678534,0.800253815,0.0,0.26663402059999997,1.0,0.575878346,0.575878346,0.6539894518,0.5163661691,20988067637.932396,994565.47415777
311,311,5001400,557538215,503814232,6,114,3406,C2,34,4844091.0,0.45055878520000003,0.45055878520000003,0.5580340359,0.0,0.09339496359999999,1.0,0.2240222355,0.2240222355,0.2805327657,0.3056058959,589153380.9592,281551.205143314
312,312,5001400,12274022119,99412530,15,114,3915,C2,39,0.0,0.6893524406999999,0.6893524406999999,0.6893533645000001,0.0,0.1486352292,1.0,0.35252580079999996,0.35252580079999996,0.3696613764,0.38553239710000003,12374051230.852188,1022821.8763819316
313,313,5001400,1477946338495,245391672906,1,114,200,C1,2,0.0,0.5464790437,0.3613628896,1.0,0.0,0.0107628105,580.0,0.2845302321,0.1289651737,1.0,0.1037439659,1522693307644.8516,42164631.14547549
314,314,5001400,18374795796,469246252,10,114,1310,C2,13,3809160.0,0.8079403401999999,0.8079403401999999,0.8096292720999999,0.0,0.283003096,1.0,0.5219779021000001,0.5219779021000001,0.5297815226,0.5319803531,18844077623.152035,914738.1264291395
315,315,5001400,33546458437,4122538872,2,114,602,C2,6,2402474.0,0.5995465100999999,0.5961419441,0.6645585998,0.0,0.1578884734,3.0,0.1795889118,0.1795940692,0.3026950437,0.3973518257,33871023898.487747,1641889.334801889
316,316,5001400,686233909,5100404,5,114,1305,C2,13,0.0,0.8564259075,0.8564259075,0.8564300268,0.0,0.3766577921,1.0,0.6120268881,0.6120268881,0.5142187749,0.6137245246,691343567.6645448,151872.2465015293
317,317,5001400,13135231447,185876901,10,114,4810,C2,48,0.0,0.7250783188,0.7250783188,0.7250815076999999,0.0,0.1618675306,1.0,0.3052142111,0.3052142111,0.30521772280000004,0.4023276408,13320674765.66694,1016923.2430046864
318,318,5001400,287194430,168289425,4,114,3604,C2,36,2426909.5,0.840198825,0.840198825,0.8549470837,0.0,0.44342159340000004,1.0,0.6038342384000001,0.6038342384000001,0.6487294838000001,0.6658990865,336626091.433753,97672.07183534981
319,319,5001400,15962355528,1123713110,7,114,3707,C2,37,2152184.0,0.6278755841,0.6278755841,0.6452371475,0.0,0.1302790533,1.0,0.4179472661,0.4179472661,0.4732258224,0.36094189740000004,16261000951.549492,1252394.8486894509
320,320,5001400,262667699,3822532,38,114,638,C2,6,0.0,0.7188079381,0.7188079381,0.7187989593,0.0,0.2002931841,1.0,0.4640588336,0.4640588336,0.4598268732,0.4475412653,266469655.74844128,129299.1670331856
321,321,5001400,12739210946,7318114833,6,114,5506,C2,55,3151980.0,0.6896346221999999,0.6896346221999999,0.7062498712999999,0.0,0.22219065170000002,1.0,0.39261697590000005,0.39261697590000005,0.43435965130000004,0.47137103399999997,13496050183.980703,873665.8955310936
322,322,5001400,12410188755,870584665,51,114,651,C2,6,4814298.5,0.7453384034,0.7453388402,0.7717480109,0.0,0.2574612616,2.0,0.263549714,0.2635503792,0.42034107600000004,0.5074064068,13226356769.585232,803468.9573322366
