,state_id,seat_id,d_votes,r_votes,other_votes,d_vote_share,r_vote_share,other_vote_share,d_won,r_won,other_won
128,IA,3,219205,212997,15361,0.48977462390769566,0.47590395095215643,0.03432142514014787,1,0,0
129,IA,4,144722,237319,0,0.3788127452289152,0.6211872547710848,0.0,0,1,0
130,ID,1,126995,299792,15918,0.28686145401565377,0.6771823223139563,0.03595622367038999,0,1,0
131,ID,2,118955,232563,15147,0.3244242019281906,0.6342656102982286,0.04131018777358079,0,1,0
132,IL,1,231568,83566,0,0.7348239161753413,0.26517608382465874,0.0,1,0,0
133,IL,2,226946,62305,0,0.784598843219211,0.215401156780789,0.0,1,0,0
134,IL,3,164943,130635,0,0.5580354424212898,0.44196455757871017,0.0,1,0,0
135,IL,4,182084,34723,0,0.8398437319828235,0.16015626801717656,0.0,1,0,0
136,IL,5,248158,94301,9029,0.7060212581937363,0.26829080935906774,0.025687932447195923,1,0,0
137,IL,6,211502,182316,7002,0.5276732697969163,0.4548575420388204,0.01746918816426326,1,0,0
138,IL,7,244014,40755,18927,0.803481112691639,0.1341966966966967,0.062322190611664295,1,0,0
139,IL,8,182712,0,67382,0.7305733044375314,0.0,0.2694266955624685,1,0,0
140,IL,9,251947,104390,0,0.7070469808074941,0.292953019192506,0.0,1,0,0
141,IL,10,197216,112291,0,0.6371939891504877,0.3628060108495123,0.0,1,0,0
142,IL,11,192967,112011,0,0.6327243276564212,0.3672756723435789,0.0,1,0,0
143,IL,12,125511,192807,0,0.3942943848604226,0.6057056151395774,0.0,0,1,0
144,IL,13,150316,180176,0,0.4548249276835748,0.5451750723164253,0.0,0,1,0
145,IL,14,200638,196034,0,0.5058032833171991,0.4941967166828009,0.0,1,0,0
146,IL,15,91405,230955,0,0.28354944782231045,0.7164505521776895,0.0,0,1,0
147,IL,16,115354,214558,168,0.3494728550654387,0.6500181774115366,0.0005089675230247213,0,1,0
148,IL,17,154010,142636,0,0.5191709984291041,0.480829001570896,0.0,1,0,0
149,IL,18,107937,258047,0,0.29492272886246396,0.705077271137536,0.0,0,1,0
150,IN,1,185176,132243,9521,0.566391386798801,0.4044870618462103,0.029121551354988683,1,0,0
151,IN,2,114963,183600,0,0.3850544106269029,0.6149455893730972,0.0,0,1,0
152,IN,3,104762,220989,0,0.32160146860638955,0.6783985313936105,0.0,0,1,0
153,IN,4,112984,225531,0,0.33376364415166243,0.6662363558483376,0.0,0,1,0
154,IN,5,191226,208212,16788,0.4594282913609433,0.5002378515518012,0.04033385708725548,0,1,0
155,IN,6,90898,225052,11772,0.27736313094635084,0.6867161801771013,0.035920688876547806,0,1,0
156,IN,7,176422,106146,0,0.6243523682794938,0.3756476317205062,0.0,1,0,0
157,IN,8,95682,214635,10282,0.2984475934110836,0.6694811898976604,0.03207121669125605,0,1,0
158,IN,9,122543,222022,14410,0.3413691761264712,0.6184887526986559,0.0401420711748729,0,1,0
159,KS,1,81561,204275,0,0.28534194433171467,0.7146580556682853,0.0,0,1,0
160,KS,2,133354,182145,13754,0.4050198479588645,0.5532068044938087,0.041773347547326825,0,1,0
161,KS,3,212604,174163,11119,0.5343339549519209,0.4377208547171803,0.0279451903308988,1,0,0
162,KS,4,110922,197433,0,0.35972174928248285,0.6402782507175171,0.0,0,1,0
163,KY,1,82238,246245,15,0.2503455119970289,0.7496088256245091,4.566237846196933e-05,0,1,0
164,KY,2,94638,255728,10022,0.2626003085563337,0.7095907743876044,0.0278089170560618,0,1,0
165,KY,3,230603,137396,0,0.6266402897833961,0.37335971021660386,0.0,1,0,0
166,KY,4,125881,256599,0,0.3291178623718887,0.6708821376281112,0.0,0,1,0
167,KY,5,47798,250652,20,0.16014339799644856,0.8397895935939961,6.70084095553992e-05,0,1,0
168,KY,6,154973,216927,6492,0.40955675595678553,0.5732864331169792,0.017156810926235225,0,1,0
169,LA,1,94730,270330,9309,0.2530391138155136,0.722095045262829,0.024865840921657507,0,1,0
170,LA,2,235320,63140,18522,0.7423765387309058,0.19919112126240607,0.05843234000668808,1,0,0
171,LA,3,100275,230480,9365,0.2948224156180172,0.6776431847583206,0.027534399623662238,0,1,0
172,LA,4,101970,204608,0,0.33260703638225836,0.6673929636177417,0.0,0,1,0
173,LA,5,99566,209990,0,0.32164131853364175,0.6783586814663582,0.0,0,0,0
174,LA,6,95541,265706,12749,0.25545995144333095,0.7104514486785954,0.03408859987807356,0,1,0
175,MA,1,245809,0,9713,0.9619876175045593,0.0,0.03801238249544071,1,0,0
176,MA,2,247232,124460,538,0.664191494506085,0.3343631625607823,0.0014453429331327404,1,0,0
177,MA,3,245840,0,7462,0.9705410932404798,0.0,0.029458906759520256,1,0,0
178,MA,4,214977,147243,1690,0.5907422164820972,0.4046137781319557,0.004644005385947075,1,0,0
179,MA,5,275104,96783,1783,0.7362217999839431,0.25900661011052534,0.004771589905531619,1,0,0
180,MA,6,265686,138614,674,0.6560569320499587,0.3422787635749456,0.0016643043750956851,1,0,0
181,MA,7,128137,0,22067,0.8530864690687332,0.0,0.1469135309312668,1,0,0
182,MA,8,218293,0,57088,0.7926944850951954,0.0,0.20730551490480462,1,0,0
183,MA,9,255326,151896,10504,0.611228412883086,0.3636259174674308,0.025145669649483154,1,0,0
184,MD,1,142981,250099,0,0.3637452935789152,0.6362547064210847,0.0,0,1,0
185,MD,2,214496,103220,0,0.6751186594316937,0.3248813405683063,0.0,1,0,0
186,MD,3,252907,109998,0,0.6968958818423554,0.30310411815764454,0.0,1,0,0
187,MD,4,274107,71011,0,0.794241389901425,0.205758610098575,0.0,1,0,0
188,MD,5,269973,122936,0,0.6871133010442622,0.31288669895573784,0.0,1,0,0
189,MD,6,200619,139363,6400,0.5791842532233199,0.4023390360930995,0.018476710683580557,1,0,0
190,MD,7,231862,90562,74,0.7189563966288163,0.2808141445838424,0.00022945878734131686,1,0,0
191,MD,8,253546,122452,0,0.6743280549364624,0.3256719450635376,0.0,1,0,0
192,ME,1,211905,139529,800,0.6016029117007444,0.39612587086993306,0.0022712174293225526,1,0,0
193,ME,2,174455,150084,1331,0.5353515205450026,0.4605640286003621,0.004084450854635284,1,0,0
194,MI,1,154651,256509,6312,0.3704464011957688,0.6144340219224284,0.015119576881802852,0,1,0
195,MI,2,153566,237872,10372,0.3821856101142331,0.5920011945944601,0.025813195291306837,0,1,0
196,MI,3,189093,213477,0,0.46971458379909087,0.5302854162009092,0.0,0,1,0
197,MI,4,120836,243373,9843,0.32304599360516717,0.6506394832803996,0.02631452311443329,0,1,0
198,MI,5,197839,151397,13693,0.5451176400893839,0.41715321729594496,0.03772914261467119,1,0,0
199,MI,6,152100,211495,14838,0.4019205513261264,0.5588703944951947,0.03920905417867892,0,1,0
200,MI,7,159752,227518,0,0.41250806930565237,0.5874919306943476,0.0,0,1,0
201,MI,8,217929,202519,7896,0.5087709878041947,0.4727952300020544,0.018433782193750817,1,0,0
202,MI,9,231829,153677,15579,0.5780046623533664,0.3831531969532643,0.038842140693369234,1,0,0
203,MI,10,138286,271810,0,0.3372039717529554,0.6627960282470446,0.0,0,1,0
204,MI,11,226076,215362,8934,0.5019761441652678,0.4781869210341673,0.019836934800564865,1,0,0
205,MI,12,254991,117730,11147,0.6642674044202694,0.3066939677180697,0.02903862786166078,1,0,0
206,MI,13,220307,53169,9269,0.7791720454826787,0.1880457656191975,0.03278218889812375,1,0,0
207,MI,14,264205,62486,8105,0.7891522001457604,0.18663902794537568,0.024208771908863905,1,0,0
208,MN,1,167877,179150,21441,0.4556080853696929,0.4862023296459937,0.058189584984313425,0,1,0
209,MN,2,203980,194414,24676,0.48214243505802823,0.4595315196066845,0.058326045335287305,1,0,0
210,MN,3,243984,194596,0,0.556304437046833,0.44369556295316703,0.0,1,0,0
211,MN,4,243289,111641,29327,0.6331413611202918,0.29053732267727067,0.07632131620243743,1,0,0
212,MN,5,255920,102878,37978,0.6449986894368611,0.2592848357763574,0.09571647478678146,1,0,0
213,MN,6,142469,271153,0,0.3444425103113471,0.6555574896886529,0.0,0,1,0
214,MN,7,141150,187483,23425,0.40092825613961336,0.5325344119434866,0.06653733191690006,0,1,0
215,MN,8,147581,223363,22114,0.37546876033562476,0.5682698227742471,0.056261416890128174,0,1,0
216,MO,1,245520,59156,6681,0.7885481938739132,0.18999412250246503,0.02145768362362176,1,0,0
217,MO,2,201520,230617,11625,0.45411729710971194,0.5196862282034064,0.026196474686881705,0,1,0
218,MO,3,116109,282424,8328,0.28537756137845605,0.6941535315500871,0.020468907071456835,0,1,0
219,MO,4,107528,245064,9934,0.29660769158625866,0.6759901358799093,0.027402172533832057,0,1,0
220,MO,5,204631,135396,9211,0.5859356656492134,0.3876897702999101,0.02637456405087648,1,0,0
221,MO,6,120753,258904,8152,0.31137235082218306,0.6676069921017821,0.021020657076034854,0,1,0
222,MO,7,96501,251937,15401,0.2652299506100226,0.6924408873155434,0.042329162074434025,0,1,0
223,MO,8,70504,253646,5846,0.2136510745584795,0.7686335591946569,0.0177153662468636,0,1,0
224,MS,1,101523,224866,280,0.31078247400273673,0.6883603892625256,0.0008571367347376091,0,1,0
225,MS,2,169087,93659,215,0.6430117013549538,0.3561706869079445,0.0008176117371016995,1,0,0
226,MS,3,114816,213657,0,0.34954471143746974,0.6504552885625302,0.0,0,1,0
227,MS,4,0,255960,8670,0.0,0.9672372746854098,0.03276272531459018,0,1,0
228,MT,1,263335,335214,0,0.43995562602226385,0.5600443739777362,0.0,0,1,0
229,NC,1,187367,158735,0,0.5413635286707387,0.45863647132926133,0.0,1,0,0
230,NC,2,310979,172019,10827,0.6297352300916317,0.34833999898749557,0.02192477092087278,1,0,0
231,NC,3,131132,227623,0,0.36551964432551465,0.6344803556744854,0.0,0,1,0
232,NC,4,329679,160006,0,0.6732470874133372,0.32675291258666284,0.0,1,0,0
